4,5,12100002000012100200
5,5,0000100002001210020012100
5,4,21000200012102000100
5,2,1020102012
3,3,121202001
5,4,00010002012102002100
6,4,010002002121020201010002
3,4,001200201210
3,3,121200100
3,7,000010020002001212121
3,5,121012020200121
6,3,100200101202121002
3,5,100002000012121
3,7,121212100000020000001
5,5,2000010000200001212120000
4,6,100000200000121212000020
5,4,01210200212100020121
4,5,21212020000100002000
3,5,001210000212121
8,5,1210000200001000020000100002000012100200
2,5,1212120000
3,4,010002002121
5,5,1000020000100002000012121
4,5,00002000010000212121
4,4,0121000221210200
3,4,121020001212
3,6,121212200000100000
2,7,12121212000000
3,3,001002121
3,7,100000020000001212121
2,5,1212120000
6,2,010201022102
3,3,121200121
3,5,000010000212121
3,8,121000000020000000121212
5,3,100200121200100
3,5,121000020002121
2,5,1212120002
5,3,121002001002001
3,5,000021212100200
4,5,12100200001212100002
4,3,121002001002
7,5,00200121210020000100002000010000200
5,2,2102010201
5,1,21212
6,5,100002000012121200001000020000
3,5,121210000200001
4,3,121002121002
4,3,200100200121
3,5,121212000012100
5,3,001002121202101
7,2,12201020102010
5,2,1220102010
4,3,121202101002
4,3,121200121200
3,3,121002021
5,3,002001002121200
5,3,001002001002121
5,2,2102010201
4,3,121200100200
7,2,01020102210201
6,1,121212
5,4,01010202012102002100
7,7,0002100000020000121210020000121000020000001000000
5,2,0102010221
5,4,00010002000100022121
6,2,122010201020
3,4,121220001000
3,5,001210020012100
5,2,1020102012
4,4,2000121220201010
3,3,001002121
5,3,100200100200121
7,3,121200100200100200100
4,3,121002001002
2,5,1212120000
3,6,012120020000212121
5,3,121202101200100
4,3,101202121002
5,3,121202101002001
5,1,21212
5,2,1220102010
6,4,020001010202012102002100
2,5,1212100002
3,3,121200100
9,1,121212121
3,7,100000020000001212121
2,5,0000212121
3,5,121210000200121
5,3,121202001002001
9,1,121212121
5,2,0102010221
4,4,1212200010002000
2,4,21210200
7,2,10201020122010
3,4,012102002120
1,6,212121
5,2,1020102012
3,3,121202100
5,2,2102010201
6,3,200121200100200100
4,3,121002121200
7,3,021002121200100200100
6,2,201020122010
3,3,121202101
6,1,212121
1,5,12121
3,3,021002121
6,5,000020000100002121212000010000
5,3,100200100200121
5,6,001000002000001000202000121212
6,3,200100200121002001
6,3,001002121002001002
7,2,10201020122010
3,5,001210020012100
2,4,20001212
1,9,121212121
5,2,1020122010
3,7,001000000200001212121
1,5,12121
3,3,100200121
5,2,1220102010
4,5,00001000021212120000
3,5,200001212100200
5,4,12122020001000200010
5,2,2102010201
2,6,121212000020
5,3,010020010020212
5,2,1020102012
6,3,100200100200121002
4,2,12201020
5,3,010020010020212
5,2,1020102012
4,3,200121200100
4,8,01000000020000002121212100000002
2,5,0000212121
3,5,000010000212121
4,3,121002121002
4,3,101202121200
3,5,010100202021212
1,6,212121
3,6,001212202000121000
4,4,0200212102020100
3,3,100200121
3,4,012102002121
3,3,100200121
1,6,212121
1,5,12121
3,7,000121200020002121200
4,5,12121002020010100002
4,3,200121200100
2,5,2000012121
2,5,1212100002
3,4,000100022121
2,8,1212121220000000
7,3,001002001002001002121
1,7,1212121
5,3,121200100200100
3,4,212100020001
5,3,001002121202101
2,5,2000012121
3,3,121202101
5,3,121002121200100
5,4,21210202010100020001
2,5,1212120000
1,8,12121212
4,7,1212121002000012100002000000
7,3,001002001002121002001
5,3,121200100200100
3,4,210102020121
3,7,212121200000200000010
5,4,00010002012102002100
4,3,002001002121
3,5,001002020012121
3,3,001002121
3,4,012102002100
5,3,101202121200100
4,7,1212100000020000001210000002
1,8,21212121
3,6,212121000200002100
3,7,001212100200021210021
3,4,121020200012
2,5,1212120000
4,4,2121020001000200
3,4,212100020001
5,2,2102210201
4,5,12121200001000020000
2,11,1212121212100200000000
3,4,012102002100
6,4,000100020001000221210002
3,4,121200200010
4,3,001002121200
5,3,001002121002001
7,1,1212121
3,4,212100020121
5,2,0102010221
1,1,2
5,2,1220102010
3,4,121220001000
2,7,12121210000002
5,4,00010002012102002100
3,3,001202121
1,5,12121
4,4,0012002012102000
4,3,121200100200
6,1,212121
6,1,121212
5,2,2102010201
2,5,0000212121
6,1,121212
7,2,12201020102010
1,5,12121
1,7,1212121
3,5,121210000200021
4,2,20102012
3,3,121202101
7,4,0212002000100020121000200010
3,7,000020012121212000000
3,4,000221210002
5,2,1020102012
5,1,12121
4,5,00002121210000200121
2,5,2000012121
3,5,121210000200021
4,4,0020001200201210
2,6,121212000020
1,5,12121
4,3,021002121200
4,3,101202121200
5,2,0102210201
6,2,201020102012
6,2,201020102012
3,4,121220001000
4,3,121200120200
5,5,1212100002000010000200001
4,5,00121002001210020000
3,3,121200100
2,6,121212200000
3,3,121202101
1,1,2
1,7,1212121
4,3,001002121200
1,7,1212121
5,3,001202101202121
3,4,212102000100
8,1,12121212
5,3,121202101200100
1,5,12121
3,3,101202121
3,3,100200121
4,3,002121002001
1,7,2121212
3,5,121210000200001
3,5,001210000212121
5,5,1212100202001000020000100
5,3,100202121002001
5,3,121002001002001
3,4,212100020001
2,7,20000001212121
3,8,121212120000002000000010
4,6,121210000020000012000020
2,5,1212120000
7,5,20000100002000010000200001212120000
5,1,12121
5,3,010020010020212
3,4,121000200012
4,3,200100202121
9,4,010002000100020021210002000100020001
4,3,121202101200
2,5,2000212121
4,4,0002212102000100
3,4,100020001212
7,2,01020102010221
3,5,121212000010000
4,3,002121202101
6,2,010201022102
3,5,000010000212121
6,2,020102010221
3,3,121202100
3,3,100202121
5,5,0002000010000202121200020
1,5,12121
2,7,00000021212121
5,1,12121
5,2,1220102010
3,5,121212000012121
2,5,0000212121
3,3,100200121
3,4,000100022121
3,5,200001212100002
4,5,00002121210000200001
5,4,00010202010102022121
5,2,0102210201
3,3,121002001
3,6,121212002000001000
3,5,121212000010000
2,5,0000212121
7,5,00002121212000010000200001000020000
3,3,121200121
3,3,121200100
3,4,212100020001
6,1,212121
2,5,0000212121
5,3,120200121002121
5,3,121200100200100
4,4,2121000200010002
5,5,0012100202001010020012100
5,4,00010002000100022121
3,5,121212020010100
3,3,101202121
3,4,212100020001
5,5,0000200001000021212100002
5,3,121200121200100
3,3,121002001
3,3,120200121
4,3,121002001002
3,3,101202121
4,4,2000121220201010
3,5,121212000010000
2,9,121212121002000000
2,9,000000200121212121
3,4,012100022121
3,4,121220001000
3,4,121220001200
3,5,010100202021212
3,5,121212000010000
2,5,0000212121
1,5,12121
3,4,212100020001
6,3,020012020210020010
2,8,0020000012121212
2,5,0000212121
4,3,121002001002
5,8,2121212100020000000100000002000000010000
3,6,000001000002212121
3,6,212121000200000100
2,7,00002001212121
3,4,212100020021
3,6,100000200000121212
2,5,2000012121
2,5,1212100002
3,4,121220001000
5,4,12122000100020001000
1,5,12121
3,5,000010000212121
6,7,000000200000010000002121212100002000012100
2,4,20001212
2,6,212121000200
5,3,121202101202101
5,3,001002001202121
6,3,002001002001002121
7,4,0001000200010002000100022121
3,9,001212121002000200121000100
5,2,0102210201
3,3,100202121
6,2,102010201220
5,2,1020102012
3,5,120002000012121
5,4,00120020121000200010
3,5,101212020012100
3,4,121220001000
3,3,121002001
3,5,210000200001212
5,2,1020122010
3,3,001002121
5,3,001002001002121
4,4,2121000201210002
5,4,01000200212102020101
5,3,100202121200100
4,3,121200121200
4,5,00002000010000212121
5,3,012020010020210
5,1,21212
5,2,1220102010
3,4,121220201010
3,5,001010020212121
5,3,001002001002121
8,3,121200100200100200100200
5,4,01210200010002002100
5,1,12121
4,7,1200000200000012121212000000
3,4,212102020101
4,7,0000200121210000002000000121
1,5,12121
3,3,101202121
3,5,200001212120000
5,5,1210000200001210000200001
3,4,121200201210
3,5,000021212120000
1,5,12121
3,6,212121000200000100
2,5,0000212121
4,3,200121200100
5,3,121202101002001
6,3,020212020010020010
1,8,12121212
5,5,0000100002121212020010100
2,7,12121210020000
5,3,121202100200100
5,3,001002121200100
